,2020,2021,2022,2020-2021,2020-2022,2021-2022
0,39uUYK1acDU4AJKFg7GJVBAJn76d67q2e8,3HVgBSzgviftGKwUNyxeG9PfEH71foSf6T,,3AtWGE3fcnrx2Dek1897z3QLGHjrxsGNj5,,3MhSAhKGScoc484ZhXExXVSqxs55WfW6W3
1,34kkxEebf2cDDneYQzNnn2mEATrBBghyqG,3AC38Kx3hPn8X3X5qBvodQCcEWydNVc4GC,,3MhvvejWmJWECRoMJUMXtRBbRdJCK2EEzk,,
2,3FajXuoMgdoLBUuxgr4LXP5MJZmtV4S68E,37RtS1GQwGBYa8Afcxkw7STh98JeuGDbrB,,,,
3,356sP39hUY4ofkLLp2rTCak7NCudRt8wKu,33vbrtd7Pr1KSUfpdBhZqkJfp5ED4isvKe,,,,
4,3CMyAmVSyoPFZv3mqHziBq1NYJmqfXiKqm,32Qr1SRzH6e31LvrDucvcoYQinFHCXS9ud,,,,
5,358EkfDVJPJVjhtsy4xjUWKkbocEyiMsFg,3KF9a9xAMrmjdCV7YHN31JLLNLGfJsFrXJ,,,,
6,36CVcEXqdGik7y4ySmyA4V3Sfh7GVgUJeo,3Kb8qcEAJt5By4tALPLTMJR477hpk1UZ8K,,,,
7,3QNpyYu2K7nhB2RS1YBrz5sLCU2aB7wRHz,3QmfRfKx98S96fBdjqWGfqHfzFd4xfdnEu,,,,
8,3DdhyTQd6h6AQeNTLTEbEZg1c7VW2oNbJP,,,,,
9,35Cc2mG9qL7GQkDaxAB5SqwFYYiv6HANan,,,,,
10,37pQ6yu4MoycnMfxxXevntBEEtDBqmkPai,,,,,
11,3EYC49JHuZwKHvVo49TU27wTJrbwtMobGw,,,,,
12,3NdHbu4WpHHuXjo3p9wqvtGoYgG6HzAczm,,,,,
13,32Qx8o62KZeqULbXe33egy7iweQ1LUV97g,,,,,
14,32jKLswAu6J5k5NVf2CvFLchGAmUF5anud,,,,,
15,3JSicwLA5zJCwgrkQ5iefhowycPyKtGkBy,,,,,
16,32DutrxfqnYNaJLRq2N3QBMthWcSz3vVHf,,,,,
17,3QVnVe9CcoGg7atfi4vmUVXnFAc9ThZkvn,,,,,
18,35vtaFaCxZEQeyDiokyKg1Jdeq5Dh5e4Cb,,,,,
19,3HbC5Php3Vq3fG5iWDcuP637EaS6T6PADc,,,,,
20,39DZaRomcY5nM8pzU72s8Wh6UaA7pfypCn,,,,,
21,3C3BZjVTVcr63MPegPcqaYurDNVwRk9ACR,,,,,
22,3QQdfAaPhP1YqLYMBS59BqWjcpXjXVP1wi,,,,,
23,3AywcTZox6K84iapEDQoZZ4iGGiBdwud8R,,,,,
24,329EhWNAW9gvoBbBS6UTPp3UYVSdJkij64,,,,,
25,3BskL6XF8UVw9CzkWMkauKRp9D5jo642CU,,,,,
26,3Pbzid7e3kngjfP6xt2yjF3jgbdHbh3CNv,,,,,
